playsum,collectsum
364415,4983
872355,3755
2480,13
977,6
7739,54
27538,169
4610,36
2418699,33103
43687,727
1417981,11914
498,17
5828,36
6664,54
294317,3115
305,4
7924,38
7718,48
545578,2497
225932,1430
2829,16
1233,7
3302726,38754
4366005,97193
313217,4433
1174,7
1356978,19778
2508197,42539
1031,6
14383,84
1094,9
41830,335
13035,367
160967,4777
5153354,73180
600733,10144
2485,15
1229,9
1195805,16112
662,7
1346,9
3050706,45426
272381,1671
267601,1295
145314,1708
205349,544
624908,8335
3898474,50894
3992,17
1960,9
565734,3611
1078,8
249052,1016
1057,19
1002,12
599887,4892
5034,42
8606241,10
1370115,19295
11237,313
2766798,23506
494,6
1691,7
99101,1877
4096747,51621
2458670,36110
947,5
149686,420
706787,34161
58161824,68
1496976,15238
149169,1065
145541,2345
2265479,13860
17166224,48597
707207,11831
487123,1855
288530,2812
678081,7231
261121,1912
